Date,equity
2022-01-03,100000.0
2022-01-04,100000.0
2022-01-05,100000.0
2022-01-06,100000.0
2022-01-07,100000.0
2022-01-10,100000.0
2022-01-11,100000.0
2022-01-12,100000.0
2022-01-13,100000.0
2022-01-14,100000.0
2022-01-18,100000.0
2022-01-19,100000.0
2022-01-20,100000.0
2022-01-21,100000.0
2022-01-24,100000.0
2022-01-25,100034.24866765828
2022-01-26,100028.75889104695
2022-01-27,100000.08881658406
2022-01-28,100677.7988538155
2022-01-31,100949.24866765828
2022-02-01,100938.87877935261
2022-02-02,101013.9085187325
2022-02-03,100834.56836980672
2022-02-04,100803.45870488972
2022-02-07,100758.92896550984
2022-02-08,100952.2988538155
2022-02-09,101040.74866765828
2022-02-10,100786.9884442696
2022-02-11,100574.70870488972
2022-02-14,100589.34903997273
2022-02-15,100827.85833257527
2022-02-16,100813.2189282784
2022-02-17,100589.34903997273
2022-02-18,100492.9689282784
2022-02-22,100311.18918889851
2022-02-23,100051.93918889851
2022-02-24,100214.80907720418
2022-02-25,100343.51911443562
2022-02-28,100359.9884442696
2022-03-01,100242.86855596394
2022-03-02,100447.82859319539
2022-03-03,100427.69848150105
2022-03-04,100241.03863042683
2022-03-07,100004.9689282784
2022-03-08,99891.50889104695
2022-03-09,100227.61855596394
2022-03-10,99957.38900274129
2022-03-11,99726.19848150105
2022-03-14,99475.4884442696
2022-03-15,99748.1585187325
2022-03-16,100022.6585187325
2022-03-17,100085.4884442696
2022-03-18,100290.44848150105
2022-03-21,100375.84903997273
2022-03-22,100585.68918889851
2022-03-23,100670.47915166707
2022-03-24,100905.93918889851
2022-03-25,100945.58881658406
2022-03-28,100999.26911443562
2022-03-29,101049.59714486863
2022-03-30,101049.59714486863
2022-03-31,101049.59714486863
2022-04-01,101049.59714486863
2022-04-04,101049.59714486863
2022-04-05,101049.59714486863
2022-04-06,101049.59714486863
2022-04-07,101049.59714486863
2022-04-08,101049.59714486863
2022-04-11,101049.59714486863
2022-04-12,101049.59714486863
2022-04-13,101049.59714486863
2022-04-14,101049.59714486863
2022-04-18,101049.59714486863
2022-04-19,101049.59714486863
2022-04-20,101049.59714486863
2022-04-21,101049.59714486863
2022-04-22,101049.59714486863
2022-04-25,101049.59714486863
2022-04-26,100696.60305432761
2022-04-27,100682.34331922019
2022-04-28,101120.68282727683
2022-04-29,100749.30248670066
2022-05-02,100768.5232813784
2022-05-03,100862.76260022605
2022-05-04,101268.24313001121
2022-05-05,100694.74313001121
2022-05-06,100726.36278943504
2022-05-09,100402.72271375144
2022-05-10,100554.62252454246
2022-05-11,100058.00286511863
2022-05-12,99813.72271375144
2022-05-13,100095.82290296043
2022-05-16,99998.48244885886
2022-05-17,100227.8832056948
2022-05-18,99705.84331922019
2022-05-19,99490.7032435366
2022-05-20,99505.58263806785
2022-05-23,99847.82290296043
2022-05-24,99677.32290296043
2022-05-25,99687.24313001121
2022-05-26,99889.36278943504
2022-05-27,100252.68282727683
2022-05-31,100203.08263806785
2022-06-01,100195.0232813784
2022-06-02,100350.0232813784
2022-06-03,99988.563167853
2022-06-06,100035.68282727683
2022-06-07,100195.0232813784
2022-06-08,100148.5232813784
2022-06-09,99818.68282727683
2022-06-10,99477.063167853
2022-06-13,99151.563167853
2022-06-14,99206.12252454246
2022-06-15,99371.66241101707
2022-06-16,99038.72271375144
2022-06-17,99131.72271375144
2022-06-21,99398.94256238425
2022-06-22,99366.7032435366
2022-06-23,99547.74313001121
2022-06-24,99757.92309216941
2022-06-27,99757.92309216941
2022-06-28,99496.28301648582
2022-06-29,99607.26260022605
2022-06-30,99451.64294080222
2022-07-01,99588.66241101707
2022-07-05,99751.72271375144
2022-07-06,99836.04275159324
2022-07-07,100048.7032435366
2022-07-08,100091.48244885886
2022-07-11,99992.99995753348
2022-07-12,99992.99995753348
2022-07-13,99992.99995753348
2022-07-14,99992.99995753348
2022-07-15,99992.99995753348
2022-07-18,99992.99995753348
